datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2022.09.01,00:00:00,23.59,Arnulf,1767,96,1863,11.7,21.3,0,69,7.1
2022.09.02,00:00:00,23.59,Arnulf,1697,81,1778,10,22,0,44,12.6
2022.09.03,00:00:00,23.59,Arnulf,905,49,954,11,23.7,5.9,61,5.4
2022.09.04,00:00:00,23.59,Arnulf,1211,52,1263,13.7,25.4,0,23,10.9
2022.09.05,00:00:00,23.59,Arnulf,1937,84,2021,12.4,27.1,0,39,11.9
2022.09.06,00:00:00,23.59,Arnulf,2028,96,2124,13.9,28.1,0,75,7.6
2022.09.07,00:00:00,23.59,Arnulf,1903,93,1996,16.9,28,0.2,93,8.1
2022.09.08,00:00:00,23.59,Arnulf,1442,93,1535,15.2,22.6,2.3,71,4.5
2022.09.09,00:00:00,23.59,Arnulf,1368,102,1470,12.5,19.7,1,81,1.6
2022.09.10,00:00:00,23.59,Arnulf,679,54,733,12.4,19.5,12.5,91,3.4
2022.09.11,00:00:00,23.59,Arnulf,691,63,754,10.7,18.8,2.6,80,1.7
2022.09.12,00:00:00,23.59,Arnulf,1988,125,2113,8.8,22.4,0,48,12.4
2022.09.13,00:00:00,23.59,Arnulf,2108,101,2209,9.7,26.7,0.1,90,8.8
2022.09.14,00:00:00,23.59,Arnulf,1523,89,1612,16.7,26.2,3.4,91,3.7
2022.09.15,00:00:00,23.59,Arnulf,1442,90,1532,13.6,21.4,1.6,98,1.7
2022.09.16,00:00:00,23.59,Arnulf,1100,90,1190,9.7,14.5,11.4,96,0
2022.09.17,00:00:00,23.59,Arnulf,595,46,641,6.5,11.9,7.9,88,2.7
2022.09.18,00:00:00,23.59,Arnulf,522,53,575,6.9,12,7,95,0.4
2022.09.19,00:00:00,23.59,Arnulf,1549,89,1638,6.1,13.5,0.1,88,3.2
2022.09.20,00:00:00,23.59,Arnulf,1633,96,1729,6.1,14.2,1.3,91,3
2022.09.21,00:00:00,23.59,Arnulf,1819,94,1913,3.9,15.4,0,5,11.1
2022.09.22,00:00:00,23.59,Arnulf,1891,122,2013,3,16.5,0,1,11.5
2022.09.23,00:00:00,23.59,Arnulf,1666,89,1755,2.8,18.9,0,61,10.9
2022.09.24,00:00:00,23.59,Arnulf,636,62,698,9.4,15.2,2.3,100,0.1
2022.09.25,00:00:00,23.59,Arnulf,695,74,769,8.7,15.7,3,88,0.9
2022.09.26,00:00:00,23.59,Arnulf,1322,69,1391,10.4,15.6,3.6,90,4.3
2022.09.27,00:00:00,23.59,Arnulf,1167,77,1244,7.1,11.9,11.4,93,2.7
2022.09.28,00:00:00,23.59,Arnulf,878,73,951,7.3,9.6,10.2,96,0
2022.09.29,00:00:00,23.59,Arnulf,1138,89,1227,7,10.3,3.8,95,0
2022.09.30,00:00:00,23.59,Arnulf,1301,93,1394,6.9,13.3,0,98,2.1
2022.09.01,00:00:00,23.59,Kreuther,407,407,814,11.7,21.3,0,69,7.1
2022.09.02,00:00:00,23.59,Kreuther,440,374,814,10,22,0,44,12.6
2022.09.03,00:00:00,23.59,Kreuther,204,176,380,11,23.7,5.9,61,5.4
2022.09.04,00:00:00,23.59,Kreuther,304,292,596,13.7,25.4,0,23,10.9
2022.09.05,00:00:00,23.59,Kreuther,531,428,959,12.4,27.1,0,39,11.9
2022.09.06,00:00:00,23.59,Kreuther,599,489,1088,13.9,28.1,0,75,7.6
2022.09.07,00:00:00,23.59,Kreuther,521,400,921,16.9,28,0.2,93,8.1
2022.09.08,00:00:00,23.59,Kreuther,410,332,742,15.2,22.6,2.3,71,4.5
2022.09.09,00:00:00,23.59,Kreuther,399,298,697,12.5,19.7,1,81,1.6
2022.09.10,00:00:00,23.59,Kreuther,107,111,218,12.4,19.5,12.5,91,3.4
2022.09.11,00:00:00,23.59,Kreuther,119,102,221,10.7,18.8,2.6,80,1.7
