datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt
2022.11.01,00:00,00:15,Arnulf,1,1,2
2022.11.01,00:15,00:30,Arnulf,6,0,6
2022.11.01,00:30,00:45,Arnulf,5,0,5
2022.11.01,00:45,01:00,Arnulf,1,0,1
2022.11.01,01:00,01:15,Arnulf,3,1,4
2022.11.01,01:15,01:30,Arnulf,5,1,6
2022.11.01,01:30,01:45,Arnulf,2,1,3
2022.11.01,01:45,02:00,Arnulf,2,2,4
2022.11.01,02:00,02:15,Arnulf,4,1,5
2022.11.01,02:15,02:30,Arnulf,2,0,2
2022.11.01,02:30,02:45,Arnulf,5,1,6
2022.11.01,02:45,03:00,Arnulf,2,1,3
2022.11.01,03:00,03:15,Arnulf,3,0,3
2022.11.01,03:15,03:30,Arnulf,2,0,2
2022.11.01,03:30,03:45,Arnulf,0,0,0
2022.11.01,03:45,04:00,Arnulf,1,0,1
2022.11.01,04:00,04:15,Arnulf,2,0,2
2022.11.01,04:15,04:30,Arnulf,1,0,1
2022.11.01,04:30,04:45,Arnulf,2,0,2
2022.11.01,04:45,05:00,Arnulf,0,0,0
2022.11.01,05:00,05:15,Arnulf,2,0,2
2022.11.01,05:15,05:30,Arnulf,0,0,0
2022.11.01,05:30,05:45,Arnulf,3,0,3
2022.11.01,05:45,06:00,Arnulf,1,0,1
2022.11.01,06:00,06:15,Arnulf,2,0,2
2022.11.01,06:15,06:30,Arnulf,1,1,2
2022.11.01,06:30,06:45,Arnulf,6,0,6
2022.11.01,06:45,07:00,Arnulf,3,0,3
2022.11.01,07:00,07:15,Arnulf,2,0,2
2022.11.01,07:15,07:30,Arnulf,6,1,7
2022.11.01,07:30,07:45,Arnulf,5,1,6
2022.11.01,07:45,08:00,Arnulf,2,0,2
2022.11.01,08:00,08:15,Arnulf,4,1,5
2022.11.01,08:15,08:30,Arnulf,2,0,2
2022.11.01,08:30,08:45,Arnulf,5,0,5
2022.11.01,08:45,09:00,Arnulf,9,1,10
2022.11.01,09:00,09:15,Arnulf,3,0,3
2022.11.01,09:15,09:30,Arnulf,11,0,11
2022.11.01,09:30,09:45,Arnulf,9,1,10
2022.11.01,09:45,10:00,Arnulf,13,1,14
2022.11.01,10:00,10:15,Arnulf,8,0,8
2022.11.01,10:15,10:30,Arnulf,9,0,9
2022.11.01,10:30,10:45,Arnulf,9,1,10
2022.11.01,10:45,11:00,Arnulf,6,0,6
2022.11.01,11:00,11:15,Arnulf,4,0,4
2022.11.01,11:15,11:30,Arnulf,20,0,20
2022.11.01,11:30,11:45,Arnulf,8,0,8
2022.11.01,11:45,12:00,Arnulf,15,2,17
2022.11.01,12:00,12:15,Arnulf,16,1,17
2022.11.01,12:15,12:30,Arnulf,18,1,19
2022.11.01,12:30,12:45,Arnulf,11,0,11
2022.11.01,12:45,13:00,Arnulf,11,2,13
2022.11.01,13:00,13:15,Arnulf,16,2,18
2022.11.01,13:15,13:30,Arnulf,15,2,17
2022.11.01,13:30,13:45,Arnulf,27,0,27
2022.11.01,13:45,14:00,Arnulf,19,1,20
2022.11.01,14:00,14:15,Arnulf,20,0,20
2022.11.01,14:15,14:30,Arnulf,10,0,10
2022.11.01,14:30,14:45,Arnulf,20,0,20
2022.11.01,14:45,15:00,Arnulf,18,0,18
2022.11.01,15:00,15:15,Arnulf,18,0,18
2022.11.01,15:15,15:30,Arnulf,16,3,19
2022.11.01,15:30,15:45,Arnulf,17,1,18
2022.11.01,15:45,16:00,Arnulf,16,1,17
2022.11.01,16:00,16:15,Arnulf,14,0,14
2022.11.01,16:15,16:30,Arnulf,12,1,13
2022.11.01,16:30,16:45,Arnulf,20,0,20
2022.11.01,16:45,17:00,Arnulf,12,0,12
2022.11.01,17:00,17:15,Arnulf,10,1,11
2022.11.01,17:15,17:30,Arnulf,9,0,9
2022.11.01,17:30,17:45,Arnulf,14,2,16
2022.11.01,17:45,18:00,Arnulf,17,0,17
2022.11.01,18:00,18:15,Arnulf,16,0,16
2022.11.01,18:15,18:30,Arnulf,17,0,17
2022.11.01,18:30,18:45,Arnulf,7,0,7
2022.11.01,18:45,19:00,Arnulf,9,1,10
2022.11.01,19:00,19:15,Arnulf,14,0,14
2022.11.01,19:15,19:30,Arnulf,5,1,6
2022.11.01,19:30,19:45,Arnulf,9,0,9
2022.11.01,19:45,20:00,Arnulf,7,2,9
2022.11.01,20:00,20:15,Arnulf,3,0,3
2022.11.01,20:15,20:30,Arnulf,3,0,3
2022.11.01,20:30,20:45,Arnulf,8,0,8
2022.11.01,20:45,21:00,Arnulf,5,0,5
2022.11.01,21:00,21:15,Arnulf,7,0,7
2022.11.01,21:15,21:30,Arnulf,4,1,5
2022.11.01,21:30,21:45,Arnulf,5,1,6
2022.11.01,21:45,22:00,Arnulf,4,0,4
2022.11.01,22:00,22:15,Arnulf,0,0,0
2022.11.01,22:15,22:30,Arnulf,4,0,4
2022.11.01,22:30,22:45,Arnulf,2,3,5
2022.11.01,22:45,23:00,Arnulf,2,1,3
2022.11.01,23:00,23:15,Arnulf,2,1,3
2022.11.01,23:15,23:30,Arnulf,2,2,4
2022.11.01,23:30,23:45,Arnulf,3,0,3
2022.11.01,23:45,00:00,Arnulf,2,0,2
2022.11.02,00:00,00:15,Arnulf,0,0,0
2022.11.02,00:15,00:30,Arnulf,0,0,0
2022.11.02,00:30,00:45,Arnulf,0,0,0
2022.11.02,00:45,01:00,Arnulf,0,0,0
2022.11.02,01:00,01:15,Arnulf,0,0,0
2022.11.02,01:15,01:30,Arnulf,4,0,4
2022.11.02,01:30,01:45,Arnulf,1,0,1
2022.11.02,01:45,02:00,Arnulf,0,0,0
2022.11.02,02:00,02:15,Arnulf,1,0,1
2022.11.02,02:15,02:30,Arnulf,0,0,0
2022.11.02,02:30,02:45,Arnulf,0,0,0
2022.11.02,02:45,03:00,Arnulf,0,0,0
2022.11.02,03:00,03:15,Arnulf,1,0,1
2022.11.02,03:15,03:30,Arnulf,0,0,0
2022.11.02,03:30,03:45,Arnulf,2,0,2
2022.11.02,03:45,04:00,Arnulf,0,0,0
2022.11.02,04:00,04:15,Arnulf,0,0,0
2022.11.02,04:15,04:30,Arnulf,0,0,0
2022.11.02,04:30,04:45,Arnulf,1,0,1
2022.11.02,04:45,05:00,Arnulf,4,1,5
2022.11.02,05:00,05:15,Arnulf,3,0,3
2022.11.02,05:15,05:30,Arnulf,2,0,2
2022.11.02,05:30,05:45,Arnulf,5,0,5
2022.11.02,05:45,06:00,Arnulf,1,0,1
2022.11.02,06:00,06:15,Arnulf,5,0,5
2022.11.02,06:15,06:30,Arnulf,10,0,10
2022.11.02,06:30,06:45,Arnulf,13,1,14
2022.11.02,06:45,07:00,Arnulf,14,0,14
2022.11.02,07:00,07:15,Arnulf,18,0,18
2022.11.02,07:15,07:30,Arnulf,22,1,23
2022.11.02,07:30,07:45,Arnulf,33,1,34
2022.11.02,07:45,08:00,Arnulf,54,0,54
2022.11.02,08:00,08:15,Arnulf,45,0,45
2022.11.02,08:15,08:30,Arnulf,60,0,60
2022.11.02,08:30,08:45,Arnulf,65,1,66
2022.11.02,08:45,09:00,Arnulf,45,2,47
2022.11.02,09:00,09:15,Arnulf,35,2,37
2022.11.02,09:15,09:30,Arnulf,28,1,29
2022.11.02,09:30,09:45,Arnulf,28,2,30
2022.11.02,09:45,10:00,Arnulf,29,0,29
2022.11.02,10:00,10:15,Arnulf,22,1,23
2022.11.02,10:15,10:30,Arnulf,12,0,12
2022.11.02,10:30,10:45,Arnulf,23,1,24
2022.11.02,10:45,11:00,Arnulf,17,0,17
2022.11.02,11:00,11:15,Arnulf,30,1,31
2022.11.02,11:15,11:30,Arnulf,13,2,15
2022.11.02,11:30,11:45,Arnulf,10,1,11
2022.11.02,11:45,12:00,Arnulf,16,1,17
2022.11.02,12:00,12:15,Arnulf,23,0,23
2022.11.02,12:15,12:30,Arnulf,21,2,23
2022.11.02,12:30,12:45,Arnulf,17,0,17
2022.11.02,12:45,13:00,Arnulf,13,1,14
2022.11.02,13:00,13:15,Arnulf,28,1,29
2022.11.02,13:15,13:30,Arnulf,20,0,20
2022.11.02,13:30,13:45,Arnulf,23,2,25
2022.11.02,13:45,14:00,Arnulf,15,0,15
2022.11.02,14:00,14:15,Arnulf,22,1,23
2022.11.02,14:15,14:30,Arnulf,15,0,15
2022.11.02,14:30,14:45,Arnulf,14,0,14
2022.11.02,14:45,15:00,Arnulf,22,1,23
2022.11.02,15:00,15:15,Arnulf,15,3,18
2022.11.02,15:15,15:30,Arnulf,26,2,28
2022.11.02,15:30,15:45,Arnulf,22,3,25
2022.11.02,15:45,16:00,Arnulf,20,1,21
2022.11.02,16:00,16:15,Arnulf,15,3,18
2022.11.02,16:15,16:30,Arnulf,31,0,31
2022.11.02,16:30,16:45,Arnulf,33,4,37
2022.11.02,16:45,17:00,Arnulf,33,3,36
2022.11.02,17:00,17:15,Arnulf,33,0,33
2022.11.02,17:15,17:30,Arnulf,46,2,48
2022.11.02,17:30,17:45,Arnulf,44,2,46
2022.11.02,17:45,18:00,Arnulf,37,3,40
2022.11.02,18:00,18:15,Arnulf,35,2,37
2022.11.02,18:15,18:30,Arnulf,42,0,42
2022.11.02,18:30,18:45,Arnulf,37,0,37
2022.11.02,18:45,19:00,Arnulf,21,6,27
2022.11.02,19:00,19:15,Arnulf,30,1,31
2022.11.02,19:15,19:30,Arnulf,31,2,33
2022.11.02,19:30,19:45,Arnulf,28,0,28
2022.11.02,19:45,20:00,Arnulf,12,2,14
2022.11.02,20:00,20:15,Arnulf,17,0,17
2022.11.02,20:15,20:30,Arnulf,18,2,20
2022.11.02,20:30,20:45,Arnulf,6,1,7
2022.11.02,20:45,21:00,Arnulf,8,0,8
2022.11.02,21:00,21:15,Arnulf,8,1,9
2022.11.02,21:15,21:30,Arnulf,7,0,7
2022.11.02,21:30,21:45,Arnulf,5,0,5
2022.11.02,21:45,22:00,Arnulf,6,0,6
2022.11.02,22:00,22:15,Arnulf,4,0,4
2022.11.02,22:15,22:30,Arnulf,3,1,4
2022.11.02,22:30,22:45,Arnulf,10,1,11
2022.11.02,22:45,23:00,Arnulf,2,0,2
2022.11.02,23:00,23:15,Arnulf,5,0,5
2022.11.02,23:15,23:30,Arnulf,2,1,3
2022.11.02,23:30,23:45,Arnulf,6,0,6
2022.11.02,23:45,00:00,Arnulf,2,0,2
2022.11.03,00:00,00:15,Arnulf,2,1,3
2022.11.03,00:15,00:30,Arnulf,1,0,1
2022.11.03,00:30,00:45,Arnulf,2,0,2
2022.11.03,00:45,01:00,Arnulf,0,1,1
2022.11.03,01:00,01:15,Arnulf,1,0,1
2022.11.03,01:15,01:30,Arnulf,0,0,0
2022.11.03,01:30,01:45,Arnulf,0,0,0
2022.11.03,01:45,02:00,Arnulf,1,0,1
2022.11.03,02:00,02:15,Arnulf,0,0,0
2022.11.03,02:15,02:30,Arnulf,0,1,1
2022.11.03,02:30,02:45,Arnulf,0,0,0
2022.11.03,02:45,03:00,Arnulf,0,0,0
2022.11.03,03:00,03:15,Arnulf,2,1,3
2022.11.03,03:15,03:30,Arnulf,0,0,0
2022.11.03,03:30,03:45,Arnulf,1,0,1
2022.11.03,03:45,04:00,Arnulf,0,0,0
2022.11.03,04:00,04:15,Arnulf,0,1,1
2022.11.03,04:15,04:30,Arnulf,0,1,1
2022.11.03,04:30,04:45,Arnulf,4,0,4
2022.11.03,04:45,05:00,Arnulf,0,1,1
2022.11.03,05:00,05:15,Arnulf,3,0,3
2022.11.03,05:15,05:30,Arnulf,2,0,2
2022.11.03,05:30,05:45,Arnulf,5,0,5
2022.11.03,05:45,06:00,Arnulf,3,0,3
2022.11.03,06:00,06:15,Arnulf,5,0,5
2022.11.03,06:15,06:30,Arnulf,8,0,8
2022.11.03,06:30,06:45,Arnulf,8,1,9
2022.11.03,06:45,07:00,Arnulf,13,0,13
2022.11.03,07:00,07:15,Arnulf,20,1,21
2022.11.03,07:15,07:30,Arnulf,25,3,28
2022.11.03,07:30,07:45,Arnulf,37,4,41
2022.11.03,07:45,08:00,Arnulf,45,1,46
2022.11.03,08:00,08:15,Arnulf,50,1,51
2022.11.03,08:15,08:30,Arnulf,57,3,60
2022.11.03,08:30,08:45,Arnulf,45,1,46
2022.11.03,08:45,09:00,Arnulf,48,3,51
2022.11.03,09:00,09:15,Arnulf,34,2,36
2022.11.03,09:15,09:30,Arnulf,17,2,19
2022.11.03,09:30,09:45,Arnulf,25,1,26
2022.11.03,09:45,10:00,Arnulf,47,0,47
2022.11.03,10:00,10:15,Arnulf,16,1,17
2022.11.03,10:15,10:30,Arnulf,16,1,17
2022.11.03,10:30,10:45,Arnulf,18,1,19
2022.11.03,10:45,11:00,Arnulf,27,0,27
2022.11.03,11:00,11:15,Arnulf,18,0,18
2022.11.03,11:15,11:30,Arnulf,20,3,23
2022.11.03,11:30,11:45,Arnulf,24,0,24
2022.11.03,11:45,12:00,Arnulf,27,1,28
2022.11.03,12:00,12:15,Arnulf,25,1,26
2022.11.03,12:15,12:30,Arnulf,27,0,27
2022.11.03,12:30,12:45,Arnulf,18,3,21
2022.11.03,12:45,13:00,Arnulf,16,0,16
2022.11.03,13:00,13:15,Arnulf,31,1,32
2022.11.03,13:15,13:30,Arnulf,25,2,27
2022.11.03,13:30,13:45,Arnulf,26,0,26
2022.11.03,13:45,14:00,Arnulf,17,5,22
2022.11.03,14:00,14:15,Arnulf,15,0,15
2022.11.03,14:15,14:30,Arnulf,20,0,20
2022.11.03,14:30,14:45,Arnulf,32,1,33
2022.11.03,14:45,15:00,Arnulf,17,2,19
2022.11.03,15:00,15:15,Arnulf,27,3,30
2022.11.03,15:15,15:30,Arnulf,23,2,25
2022.11.03,15:30,15:45,Arnulf,24,0,24
2022.11.03,15:45,16:00,Arnulf,24,4,28
2022.11.03,16:00,16:15,Arnulf,25,1,26
2022.11.03,16:15,16:30,Arnulf,35,3,38
