Date, Open, High, Low, Close
10/31/23, 14741.44, 14829.62, 14722.38, 14810.34
10/30/23, 14770.95, 14798.00, 14678.73, 14716.54
10/27/23, 14757.11, 14824.29, 14667.37, 14687.41
10/26/23, 14696.22, 14795.41, 14655.08, 14731.05
10/25/23, 14870.63, 14933.69, 14789.63, 14892.18
10/24/23, 14802.52, 14916.60, 14750.32, 14879.94
10/23/23, 14823.03, 14838.01, 14630.21, 14800.72
10/20/23, 14872.02, 14936.49, 14798.47, 14798.47
10/19/23, 15060.65, 15104.37, 14984.59, 15045.23
10/18/23, 15244.05, 15271.15, 15081.69, 15094.91
10/17/23, 15211.29, 15288.32, 15117.24, 15251.69
10/16/23, 15219.42, 15271.51, 15103.12, 15237.99
10/13/23, 15400.09, 15409.89, 15178.07, 15186.66
10/12/23, 15537.87, 15575.28, 15413.20, 15425.03
10/11/23, 15366.78, 15486.11, 15361.74, 15460.01
10/10/23, 15272.57, 15443.45, 15272.57, 15423.52
10/09/23, 15143.29, 15201.06, 15077.66, 15128.11
10/06/23, 15109.16, 15230.89, 15033.55, 15229.77
10/05/23, 15113.94, 15157.70, 15048.42, 15070.22
10/04/23, 14979.81, 15174.63, 14948.08, 15099.92
10/03/23, 15184.49, 15257.86, 15074.85, 15085.21
10/02/23, 15439.96, 15476.38, 15192.01, 15247.21
09/29/23, 15394.82, 15515.99, 15382.56, 15386.58
09/28/23, 15229.10, 15323.73, 15138.66, 15323.50
09/27/23, 15225.58, 15299.68, 15194.68, 15217.45
09/26/23, 15330.91, 15360.43, 15229.35, 15255.87
09/25/23, 15513.32, 15572.14, 15329.40, 15405.49
09/22/23, 15473.80, 15592.27, 15471.75, 15557.29
09/21/23, 15650.98, 15696.66, 15548.69, 15571.86
09/20/23, 15703.09, 15810.36, 15699.34, 15781.59
09/19/23, 15688.07, 15743.90, 15630.94, 15664.48
09/18/23, 15858.81, 15870.62, 15693.87, 15727.12
09/15/23, 15940.39, 15989.30, 15871.17, 15893.53
09/14/23, 15652.41, 15824.06, 15588.12, 15805.29
09/13/23, 15648.92, 15726.60, 15564.64, 15654.03
09/12/23, 15804.08, 15808.38, 15686.34, 15715.53
09/11/23, 15799.42, 15867.57, 15771.07, 15800.99
09/08/23, 15777.56, 15783.38, 15577.04, 15740.30
09/07/23, 15661.66, 15794.72, 15661.38, 15718.66
09/06/23, 15712.59, 15781.89, 15676.51, 15741.37
09/05/23, 15729.78, 15838.44, 15691.49, 15771.71
09/04/23, 15904.63, 15958.74, 15795.97, 15824.85
09/01/23, 15936.34, 15984.59, 15840.25, 15840.34
08/31/23, 15937.39, 16042.66, 15914.43, 15947.08
08/30/23, 15956.92, 15960.40, 15823.33, 15891.93
08/29/23, 15844.76, 15942.12, 15805.42, 15930.88
08/28/23, 15756.47, 15804.95, 15673.89, 15792.61
08/25/23, 15582.95, 15739.78, 15578.97, 15631.82
08/24/23, 15876.22, 15896.74, 15618.69, 15621.49
08/23/23, 15761.25, 15820.95, 15672.43, 15728.41
08/22/23, 15684.64, 15799.34, 15677.44, 15705.62
08/21/23, 15573.95, 15710.21, 15571.82, 15603.28
08/18/23, 15597.12, 15612.88, 15468.65, 15574.26
08/17/23, 15712.94, 15793.53, 15664.30, 15676.90
08/16/23, 15737.02, 15814.66, 15725.10, 15789.45
08/15/23, 15909.57, 15923.13, 15703.03, 15767.28
08/14/23, 15818.21, 15937.78, 15817.59, 15904.25
08/11/23, 15927.79, 15962.45, 15803.08, 15832.17
08/10/23, 15921.42, 16060.27, 15880.41, 15996.52
08/09/23, 15918.06, 15983.78, 15831.08, 15852.58
08/08/23, 15868.31, 15946.57, 15706.31, 15774.93
08/07/23, 15877.54, 15962.61, 15824.78, 15950.76
08/04/23, 15917.01, 15973.96, 15784.52, 15951.86
08/03/23, 15879.03, 15920.32, 15807.85, 15893.38
08/02/23, 16027.65, 16140.76, 15955.31, 16020.02
08/01/23, 16414.79, 16430.66, 16240.40, 16240.40
07/31/23, 16434.66, 16528.97, 16427.47, 16446.83
07/28/23, 16356.38, 16490.13, 16336.42, 16469.75
07/27/23, 16162.16, 16408.80, 16131.64, 16406.03
07/26/23, 16183.70, 16212.91, 16000.04, 16131.46
07/25/23, 16169.75, 16225.89, 16135.60, 16211.59
07/24/23, 16126.71, 16208.76, 16121.27, 16190.95
07/21/23, 16125.21, 16181.34, 16103.48, 16177.22
07/20/23, 16059.22, 16211.43, 16050.98, 16204.22
07/19/23, 16190.00, 16240.79, 16075.17, 16108.93
07/18/23, 16042.03, 16140.20, 16031.07, 16125.49
07/17/23, 16013.52, 16102.51, 15995.45, 16068.65
07/14/23, 16123.13, 16149.12, 16071.74, 16105.07
07/13/23, 16009.26, 16185.11, 16000.38, 16141.03
07/12/23, 15842.26, 16044.28, 15806.28, 16023.00
07/11/23, 15716.26, 15807.66, 15659.10, 15790.34
07/10/23, 15585.34, 15722.03, 15545.33, 15673.16
07/07/23, 15515.00, 15661.41, 15456.16, 15603.40
07/06/23, 15816.11, 15846.25, 15495.84, 15528.54
07/05/23, 15930.16, 15982.96, 15901.39, 15937.58
07/04/23, 16082.93, 16103.95, 16023.72, 16039.17
07/03/23, 16187.91, 16209.29, 16070.49, 16081.04
06/30/23, 15989.43, 16176.55, 15978.90, 16147.90
06/29/23, 15960.47, 15998.67, 15920.04, 15946.72
06/28/23, 15922.71, 15994.31, 15906.88, 15949.00
06/27/23, 15873.73, 15895.70, 15758.13, 15846.86
06/26/23, 15874.15, 15874.90, 15713.70, 15813.06
06/23/23, 15862.79, 15917.14, 15733.12, 15829.94
06/22/23, 15867.65, 15988.21, 15810.48, 15988.16
06/21/23, 16082.75, 16145.29, 16002.27, 16023.13
06/20/23, 16100.29, 16184.30, 16069.10, 16111.32
06/19/23, 16272.21, 16302.29, 16189.57, 16201.20
06/16/23, 16306.63, 16427.42, 16276.79, 16357.63
06/15/23, 16275.73, 16301.73, 16165.66, 16290.12
06/14/23, 16219.09, 16336.27, 16217.45, 16310.79
06/13/23, 16218.20, 16232.70, 16088.47, 16230.68
06/12/23, 16052.91, 16126.30, 16021.55, 16097.87
06/09/23, 15993.02, 15998.90, 15924.51, 15949.84
06/08/23, 15951.61, 16019.00, 15913.95, 15989.96
06/07/23, 15998.10, 16020.28, 15909.85, 15960.56
06/06/23, 15939.31, 16009.28, 15925.56, 15992.44
06/05/23, 16079.86, 16114.84, 15928.44, 15963.89
06/02/23, 15949.04, 16071.32, 15922.61, 16051.23
06/01/23, 15744.01, 15863.41, 15734.86, 15853.66
05/31/23, 15757.43, 15871.70, 15629.12, 15664.02
05/30/23, 15962.31, 16058.43, 15889.46, 15908.91
05/29/23, 16064.13, 16079.73, 15925.22, 15952.73
05/26/23, 15850.09, 16008.59, 15726.74, 15983.97
05/25/23, 15872.46, 15872.60, 15726.50, 15793.80
05/24/23, 16008.52, 16013.29, 15802.86, 15842.13
05/23/23, 16186.44, 16224.32, 16143.98, 16152.86
05/22/23, 16235.98, 16267.93, 16196.36, 16223.99
05/19/23, 16233.11, 16331.94, 16203.60, 16275.38
05/18/23, 16069.42, 16230.44, 16069.42, 16163.36
05/17/23, 15883.61, 15992.77, 15862.15, 15951.30
05/16/23, 15892.78, 15968.41, 15862.37, 15897.93
05/15/23, 15966.96, 15982.10, 15874.24, 15917.24
05/12/23, 15918.25, 15938.01, 15852.10, 15913.82
05/11/23, 15943.85, 15970.54, 15754.76, 15834.91
05/10/23, 15973.38, 15984.82, 15848.69, 15896.23
05/09/23, 15950.89, 15962.62, 15879.56, 15955.48
05/08/23, 15967.57, 15996.16, 15933.69, 15952.83
05/05/23, 15837.44, 15961.54, 15755.97, 15961.02
05/04/23, 15781.46, 15796.71, 15662.32, 15734.24
05/03/23, 15774.02, 15868.88, 15745.98, 15815.06
05/02/23, 15950.36, 16011.56, 15707.55, 15726.94
04/28/23, 15884.79, 15922.38, 15688.17, 15922.38
04/27/23, 15739.35, 15859.25, 15706.69, 15800.45
04/26/23, 15804.50, 15826.02, 15694.36, 15795.73
04/25/23, 15836.79, 15891.73, 15794.81, 15872.13
04/24/23, 15852.27, 15919.11, 15831.10, 15863.95
04/21/23, 15782.58, 15899.62, 15706.83, 15881.66
04/20/23, 15864.15, 15883.31, 15734.25, 15795.97
04/19/23, 15850.52, 15908.47, 15829.55, 15895.20
04/18/23, 15841.50, 15916.28, 15802.75, 15882.67
04/17/23, 15838.89, 15903.25, 15764.38, 15789.53
04/14/23, 15789.78, 15841.47, 15760.32, 15807.50
04/13/23, 15708.21, 15754.99, 15675.15, 15729.46
04/12/23, 15689.14, 15827.28, 15668.20, 15703.60
04/11/23, 15710.45, 15726.02, 15625.79, 15655.17
04/06/23, 15530.20, 15601.49, 15509.09, 15597.89
04/05/23, 15611.68, 15627.29, 15482.88, 15520.17
04/04/23, 15639.02, 15736.56, 15601.40, 15603.47
04/03/23, 15623.45, 15659.35, 15553.90, 15580.92
03/31/23, 15568.37, 15659.06, 15499.84, 15628.84
03/30/23, 15429.38, 15536.42, 15424.69, 15522.40
03/29/23, 15242.52, 15342.27, 15186.75, 15328.78
03/28/23, 15255.93, 15261.49, 15103.76, 15142.02
03/27/23, 15133.68, 15185.35, 15020.07, 15127.68
03/24/23, 15135.50, 15135.65, 14809.82, 14957.23
03/23/23, 15178.25, 15244.32, 15078.72, 15210.39
03/22/23, 15174.67, 15298.49, 15166.95, 15216.19
03/21/23, 15062.06, 15253.10, 15055.93, 15195.34
03/20/23, 14715.40, 14980.43, 14458.39, 14933.38
03/17/23, 15073.76, 15153.11, 14694.26, 14768.20
03/16/23, 14973.84, 15018.31, 14664.17, 14967.10
03/15/23, 15175.44, 15246.17, 14702.91, 14735.26
03/14/23, 15016.53, 15272.11, 14951.71, 15232.83
03/13/23, 15435.16, 15435.81, 14887.44, 14959.47
03/10/23, 15369.67, 15495.87, 15316.38, 15427.97
03/09/23, 15619.75, 15667.05, 15535.13, 15633.21
03/08/23, 15528.81, 15667.21, 15524.85, 15631.87
03/07/23, 15638.44, 15706.37, 15544.07, 15559.53
03/06/23, 15597.90, 15677.93, 15587.78, 15653.58
03/03/23, 15430.66, 15590.44, 15409.99, 15578.39
03/02/23, 15171.07, 15329.29, 15150.67, 15327.64
03/01/23, 15399.91, 15478.84, 15254.11, 15305.02
02/28/23, 15299.79, 15443.17, 15289.43, 15365.14
02/27/23, 15351.63, 15481.06, 15351.63, 15381.43
02/24/23, 15501.82, 15530.46, 15162.48, 15209.74
02/23/23, 15453.29, 15552.77, 15433.97, 15475.69
02/22/23, 15342.60, 15408.58, 15247.50, 15399.89
02/21/23, 15450.62, 15470.52, 15286.71, 15397.62
02/20/23, 15524.16, 15532.44, 15436.79, 15477.55
