datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt
2022.09.01,00:00:00,00:15:00,Arnulf,4,0,4
2022.09.01,00:15:00,00:30:00,Arnulf,2,0,2
2022.09.01,00:30:00,00:45:00,Arnulf,0,2,2
2022.09.01,00:45:00,01:00:00,Arnulf,0,0,0
2022.09.01,01:00:00,01:15:00,Arnulf,1,0,1
2022.09.01,01:15:00,01:30:00,Arnulf,0,0,0
2022.09.01,01:30:00,01:45:00,Arnulf,2,0,2
2022.09.01,01:45:00,02:00:00,Arnulf,1,0,1
2022.09.01,02:00:00,02:15:00,Arnulf,1,0,1
2022.09.01,02:15:00,02:30:00,Arnulf,0,0,0
2022.09.01,02:30:00,02:45:00,Arnulf,1,0,1
2022.09.01,02:45:00,03:00:00,Arnulf,1,0,1
2022.09.01,03:00:00,03:15:00,Arnulf,1,0,1
2022.09.01,03:15:00,03:30:00,Arnulf,1,0,1
2022.09.01,03:30:00,03:45:00,Arnulf,0,0,0
2022.09.01,03:45:00,04:00:00,Arnulf,0,0,0
2022.09.01,04:00:00,04:15:00,Arnulf,1,0,1
2022.09.01,04:15:00,04:30:00,Arnulf,0,0,0
2022.09.01,04:30:00,04:45:00,Arnulf,0,1,1
2022.09.01,04:45:00,05:00:00,Arnulf,1,1,2
2022.09.01,05:00:00,05:15:00,Arnulf,3,0,3
2022.09.01,05:15:00,05:30:00,Arnulf,3,0,3
2022.09.01,05:30:00,05:45:00,Arnulf,2,0,2
2022.09.01,05:45:00,06:00:00,Arnulf,4,0,4
2022.09.01,06:00:00,06:15:00,Arnulf,1,0,1
2022.09.01,06:15:00,06:30:00,Arnulf,3,1,4
2022.09.01,06:30:00,06:45:00,Arnulf,6,0,6
2022.09.01,06:45:00,07:00:00,Arnulf,10,0,10
2022.09.01,07:00:00,07:15:00,Arnulf,23,0,23
2022.09.01,07:15:00,07:30:00,Arnulf,27,0,27
2022.09.01,07:30:00,07:45:00,Arnulf,23,0,23
2022.09.01,07:45:00,08:00:00,Arnulf,33,5,38
2022.09.01,08:00:00,08:15:00,Arnulf,42,0,42
2022.09.01,08:15:00,08:30:00,Arnulf,34,1,35
2022.09.01,08:30:00,08:45:00,Arnulf,60,1,61
2022.09.01,08:45:00,09:00:00,Arnulf,62,2,64
2022.09.01,09:00:00,09:15:00,Arnulf,34,0,34
2022.09.01,09:15:00,09:30:00,Arnulf,27,0,27
2022.09.01,09:30:00,09:45:00,Arnulf,25,0,25
2022.09.01,09:45:00,10:00:00,Arnulf,26,3,29
2022.09.01,10:00:00,10:15:00,Arnulf,14,0,14
2022.09.01,10:15:00,10:30:00,Arnulf,20,0,20
2022.09.01,10:30:00,10:45:00,Arnulf,19,1,20
2022.09.01,10:45:00,11:00:00,Arnulf,26,0,26
2022.09.01,11:00:00,11:15:00,Arnulf,13,0,13
2022.09.01,11:15:00,11:30:00,Arnulf,23,2,25
2022.09.01,11:30:00,11:45:00,Arnulf,11,2,13
2022.09.01,11:45:00,12:00:00,Arnulf,18,0,18
2022.09.01,12:00:00,12:15:00,Arnulf,15,1,16
2022.09.01,12:15:00,12:30:00,Arnulf,23,0,23
2022.09.01,12:30:00,12:45:00,Arnulf,14,1,15
2022.09.01,12:45:00,13:00:00,Arnulf,18,3,21
2022.09.01,13:00:00,13:15:00,Arnulf,15,0,15
2022.09.01,13:15:00,13:30:00,Arnulf,17,1,18
2022.09.01,13:30:00,13:45:00,Arnulf,19,2,21
2022.09.01,13:45:00,14:00:00,Arnulf,24,3,27
2022.09.01,14:00:00,14:15:00,Arnulf,24,1,25
2022.09.01,14:15:00,14:30:00,Arnulf,13,3,16
2022.09.01,14:30:00,14:45:00,Arnulf,16,0,16
2022.09.01,14:45:00,15:00:00,Arnulf,23,2,25
2022.09.01,15:00:00,15:15:00,Arnulf,18,1,19
2022.09.01,15:15:00,15:30:00,Arnulf,22,0,22
2022.09.01,15:30:00,15:45:00,Arnulf,17,2,19
2022.09.01,15:45:00,16:00:00,Arnulf,15,0,15
2022.09.01,16:00:00,16:15:00,Arnulf,20,1,21
2022.09.01,16:15:00,16:30:00,Arnulf,30,0,30
2022.09.01,16:30:00,16:45:00,Arnulf,41,1,42
2022.09.01,16:45:00,17:00:00,Arnulf,29,2,31
2022.09.01,17:00:00,17:15:00,Arnulf,20,3,23
2022.09.01,17:15:00,17:30:00,Arnulf,42,0,42
2022.09.01,17:30:00,17:45:00,Arnulf,74,1,75
