datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2022.12.01,00:00:00,23.59,Arnulf,1306,63,1369,0.9,3,0,100,0
2022.12.02,00:00:00,23.59,Arnulf,912,47,959,1.1,3,1.1,98,0
2022.12.03,00:00:00,23.59,Arnulf,528,25,553,-0.5,1.4,0,100,0
2022.12.04,00:00:00,23.59,Arnulf,361,26,387,-0.4,2.5,0,100,0
2022.12.05,00:00:00,23.59,Arnulf,955,58,1013,0.7,4.6,1.7,98,0
2022.12.06,00:00:00,23.59,Arnulf,1207,70,1277,0.5,3.8,0,88,0.7
2022.12.07,00:00:00,23.59,Arnulf,1174,73,1247,1.1,5,0,89,2.1
2022.12.08,00:00:00,23.59,Arnulf,1239,62,1301,-1.8,3.6,0,76,0.5
2022.12.09,00:00:00,23.59,Arnulf,834,53,887,-2.6,0.5,1.7,95,0
2022.12.10,00:00:00,23.59,Arnulf,311,28,339,-1.9,0.4,3.1,94,0
2022.12.11,00:00:00,23.59,Arnulf,123,12,135,-3.6,-1.3,0,94,1.2
2022.12.12,00:00:00,23.59,Arnulf,526,22,548,-6.7,-0.8,0,46,6.9
2022.12.13,00:00:00,23.59,Arnulf,490,18,508,-10.2,-5.6,0,61,7.2
2022.12.14,00:00:00,23.59,Arnulf,382,24,406,-5.9,0.8,11.8,98,0
2022.12.15,00:00:00,23.59,Arnulf,134,13,147,-2.3,0.1,4.8,98,0
2022.12.16,00:00:00,23.59,Arnulf,75,9,84,-3.4,0,4.1,94,0
2022.12.17,00:00:00,23.59,Arnulf,12,2,14,-6.4,-2,0,60,7.1
2022.12.18,00:00:00,23.59,Arnulf,8,3,11,-6.1,-4.6,0,100,0
2022.12.19,00:00:00,23.59,Arnulf,99,8,107,-6,2.8,0,95,0.7
2022.12.20,00:00:00,23.59,Arnulf,429,29,458,-0.2,7.6,0,100,0.4
2022.12.21,00:00:00,23.59,Arnulf,558,42,600,2.6,9.3,1.5,91,0
2022.12.22,00:00:00,23.59,Arnulf,713,64,777,5.6,11.7,4.1,94,1.2
2022.12.23,00:00:00,23.59,Arnulf,420,34,454,7.5,12.4,18.4,96,0
2022.12.24,00:00:00,23.59,Arnulf,190,21,211,7,11.1,0,95,1.9
2022.12.25,00:00:00,23.59,Arnulf,200,17,217,7,14.4,0,75,7.4
2022.12.26,00:00:00,23.59,Arnulf,130,10,140,5.8,14.5,10.9,84,3.3
2022.12.27,00:00:00,23.59,Arnulf,504,25,529,1.2,7,0,64,5.6
2022.12.28,00:00:00,23.59,Arnulf,503,50,553,0.6,9.5,0,93,3.6
2022.12.29,00:00:00,23.59,Arnulf,597,37,634,5.1,13.5,1.2,98,3.4
2022.12.30,00:00:00,23.59,Arnulf,523,42,565,4.3,12.7,1.5,76,6.1
2022.12.31,00:00:00,23.59,Arnulf,424,27,451,10.5,20,0,96,2.9
2022.12.01,00:00:00,23.59,Kreuther,410,318,728,0.9,3,0,100,0
2022.12.02,00:00:00,23.59,Kreuther,276,202,478,1.1,3,1.1,98,0
2022.12.03,00:00:00,23.59,Kreuther,125,96,221,-0.5,1.4,0,100,0
2022.12.04,00:00:00,23.59,Kreuther,98,94,192,-0.4,2.5,0,100,0
2022.12.05,00:00:00,23.59,Kreuther,352,260,612,0.7,4.6,1.7,98,0
2022.12.06,00:00:00,23.59,Kreuther,386,285,671,0.5,3.8,0,88,0.7
2022.12.07,00:00:00,23.59,Kreuther,388,313,701,1.1,5,0,89,2.1
2022.12.08,00:00:00,23.59,Kreuther,390,317,707,-1.8,3.6,0,76,0.5
2022.12.09,00:00:00,23.59,Kreuther,264,186,450,-2.6,0.5,1.7,95,0
2022.12.10,00:00:00,23.59,Kreuther,46,61,107,-1.9,0.4,3.1,94,0
